,vender,url,product,description,image,live,price,quantity
33,CannonKeys,https://cannonkeys.com/products/aurora-series-fog-linear-switch?_pos=19&_fid=c9a0afe91&_ss=c&variant=40912132538479,Aurora Series Fog Linear Switch,"WS Aurora Series Fog Linear Switch Available with or without factory lube, the WS Aurora Series Fog Linear Switch is smooth stock and allows for further customization! With a moderate weighting at 63.5g and a box stem design, these are sure to please! Like the color and materials but want to customize the feel and soun",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/DSC07746-Edit_1_1200x1200.png?v=1665767711,True,$35.00,70
34,CannonKeys,https://cannonkeys.com/products/aeboards-raed-linear-switch-r2?_pos=23&_fid=c9a0afe91&_ss=c,AEBoards Raed Linear Switch R2 (40),"The Raed switch is a linear version of the Naevy tactile switch by AEBoards. A bespoke creation for the community, the latest version features a custom PME blend.",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/RaedsR2_1200x1200.png?v=1658438214,True,$18.00,
35,CannonKeys,https://cannonkeys.com/products/mekanisk-ultramarine-v2-linear-switch?_pos=21&_fid=c9a0afe91&_ss=c,Mekanisk Ultramarine V2 Linear Switch,The Mekanisk Ultramarine V2 Linear Switch is a nylon top and polyamide bottom housed switch manufactured by Durock. These switches feature a P3 stem.,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/Ultramarine_1200x1200.png?v=1658436832,True,$46.20,70
36,CannonKeys,https://cannonkeys.com/products/aurora-series-clear-linear-switch?_pos=16&_fid=c9a0afe91&_ss=c&variant=40912145023087,Aurora Series Clear Linear Switch,"WS Aurora Series Clear Linear Switch Available with or without factory lube, the WS Aurora Series Clear Linear Switch is smooth stock and allows for further customization! With a moderate weighting at 63.5g and a box stem design, these are sure to please! Like the color and materials but want to customize the feel and ",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/DSC07772_1200x1200.png?v=1665767032,True,$35.00,70
37,CannonKeys,https://cannonkeys.com/products/mm-switch-bottom-housings?_pos=44&_fid=c9a0afe91&_ss=c,MM Switch Bottom Housings,"MM Switch Bottom Housings are part of the the MM Switch Series, a series of custom linear switch parts manufactured by JWK available!",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/bottom-combo_1200x1200.png?v=1662657378,True,$8.50,Pink | Modified POM
38,CannonKeys,https://cannonkeys.com/products/lilac-linear-switch?_pos=51&_fid=c9a0afe91&_ss=c&variant=32215362633839,Lilac Linear Switch,"CannonKeys is pleased to offer new Lilac Linear Switches! Lilac linears are a fairly standard Durock linear switch, with a lovely color scheme. If you're looking for a something simple and smooth, these are a great option! Very comparable to Alpaca and Banana Split switches. Like the color and materials but want to cus",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/lilac-linear-hero-v3_1200x1200.png?v=1637190179,True,$60.50,70
39,CannonKeys,https://cannonkeys.com/products/anubis-switch?_pos=11&_fid=c9a0afe91&_ss=c,Anubis Tactile Switch by Mechs on Deck,"CannonKeys is pleased to offer the Durock Anubis Tactile Switch! We're proud to offer a Mechs on Deck color themed full nylon tactile switch using a strong tactile stem with an extended pole! Materials: Full nylon, POM stem. 65g gold plated spring. Factory lubed. 5 pin. Mechs on Deck Themed Colors. Available in quantities of 70, 90, and 110.",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/anubis-hero_1200x1200.png?v=1626917743,True,$45.50,70
40,CannonKeys,https://cannonkeys.com/products/aeboards-blaeck-linear-switch?_pos=22&_fid=c9a0afe91&_ss=c,AEBoards Blaeck Linear Switch (40),The Blaeck Switch by AEBoards is a black linear version of Naevy.,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/BlaeckSwitch_1200x1200.png?v=1658437688,True,$18.00,
41,CannonKeys,https://cannonkeys.com/products/coral-silent-linear-switch?_pos=28&_fid=c9a0afe91&_ss=c,Coral Silent Linear Switch,"CannonKeys is proud to offer Coral Silent Linear Switches! The Coral Silent Linear Switch is a beautifully colored silent linear switch manufactured by Durock. This switch comes pre-lubed and features a translucent PC top and nylon bottom housing, along with a POM stem. If you're looking something smooth and quiet, the",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/coral-new_1200x1200.png?v=1648782299,True,$52.50,70
42,CannonKeys,https://cannonkeys.com/products/momoka-frog-switch?_pos=39&_fid=c9a0afe91&_ss=c&variant=39858764447855,MOMOKA Frog Linear Switch,"MOMOKA Frog Linear Switch Designed and manufactured by MOMOKA, this linear switch features a 54g operating force and an ultra-satisfying bottom out. The extra pre-travel gives this switch a unique feeling when typing. Like the color and materials but want to customize the feel and sound? Check out our slow springs and ",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/hero-frog-2_1200x1200.png?v=1637190191,True,$55.00,70
